;                   	35   	SEMICOL             	NaN       	LVALUEIDSTMT        	Yes	                    	
----                	1    	WHICHSTMT           	NaN       	ASSIGNMENTSTMT      	No 	WHICHSTMT           	
----                	1    	SIMPLESTMT          	NaN       	STATEMENT           	No 	SIMPLESTMT          	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	STATEMENTS          	No 	STATEMENTS          	
print               	36   	PRINT               	NaN       	IOSTMT              	Yes	                    	
----                	1    	IOSTMT              	NaN       	STATEMENT           	No 	IOSTMT              	
(                   	36   	BO                  	NaN       	IOSTMT              	Yes	                    	
s                   	36   	ID                  	NaN       	VAR_ID_NUM          	Yes	                    	
----                	1    	VAR_ID_NUM          	NaN       	VAR                 	No 	VAR_ID_NUM          	
----                	1    	EPS                 	NaN       	WHICHID             	Yes	                    	
----                	1    	WHICHID             	NaN       	VAR_ID_NUM          	No 	WHICHID             	
----                	1    	VAR                 	NaN       	IOSTMT              	No 	VAR                 	
)                   	36   	BC                  	NaN       	IOSTMT              	Yes	                    	
;                   	45   	SEMICOL             	NaN       	IOSTMT              	Yes	                    	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	STATEMENTS          	No 	STATEMENTS          	
declare             	47   	DECLARE             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	DECLARESTMT         	NaN       	STATEMENT           	No 	DECLARESTMT         	
tempvar             	47   	ID                  	NaN       	IDLIST              	Yes	                    	
----                	1    	IDLIST              	NaN       	DECLARESTMT         	No 	IDLIST              	
----                	1    	EPS                 	NaN       	N3                  	Yes	                    	
----                	1    	N3                  	NaN       	IDLIST              	No 	N3                  	
:                   	47   	COLON               	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	DATATYPE            	NaN       	DECLARESTMT         	Yes	                    	
;                   	47   	SEMICOL             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	STATEMENTS          	No 	STATEMENTS          	
declare             	48   	DECLARE             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	DECLARESTMT         	NaN       	STATEMENT           	No 	DECLARESTMT         	
i                   	48   	ID                  	NaN       	IDLIST              	Yes	                    	
----                	1    	IDLIST              	NaN       	DECLARESTMT         	No 	IDLIST              	
----                	1    	EPS                 	NaN       	N3                  	Yes	                    	
----                	1    	N3                  	NaN       	IDLIST              	No 	N3                  	
:                   	48   	COLON               	NaN       	DECLARESTMT         	Yes	                    	
integer             	48   	INTEGER             	NaN       	DATATYPE            	Yes	                    	
----                	1    	DATATYPE            	NaN       	DECLARESTMT         	No 	DATATYPE            	
;                   	48   	SEMICOL             	NaN       	DECLARESTMT         	Yes	                    	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	STATEMENTS          	No 	STATEMENTS          	
i                   	49   	ID                  	NaN       	ASSIGNMENTSTMT      	Yes	                    	
----                	1    	ASSIGNMENTSTMT      	NaN       	SIMPLESTMT          	No 	ASSIGNMENTSTMT      	
:=                  	49   	ASSIGNOP            	NaN       	LVALUEIDSTMT        	Yes	                    	
----                	1    	LVALUEIDSTMT        	NaN       	WHICHSTMT           	No 	LVALUEIDSTMT        	
1                   	49   	NUM                 	1         	VAR_ID_NUM          	Yes	                    	
----                	1    	VAR_ID_NUM          	NaN       	FACTOR              	No 	VAR_ID_NUM          	
----                	1    	FACTOR              	NaN       	TERM                	No 	FACTOR              	
----                	1    	TERM                	NaN       	ARITHMETICEXPR      	No 	TERM                	
----                	1    	EPS                 	NaN       	N5                  	Yes	                    	
----                	1    	N5                  	NaN       	TERM                	No 	N5                  	
----                	1    	ARITHMETICEXPR      	NaN       	ANYTERM             	No 	ARITHMETICEXPR      	
----                	1    	EPS                 	NaN       	N4                  	Yes	                    	
----                	1    	N4                  	NaN       	ARITHMETICEXPR      	No 	N4                  	
----                	1    	ANYTERM             	NaN       	ARITHMETICORBOOLEANEXPR	No 	ANYTERM             	
----                	1    	EPS                 	NaN       	N8                  	Yes	                    	
----                	1    	N8                  	NaN       	ANYTERM             	No 	N8                  	
----                	1    	ARITHMETICORBOOLEANEXPR	NaN       	EXPRESSION          	No 	ARITHMETICORBOOLEANEXPR	
----                	1    	EPS                 	NaN       	N7                  	Yes	                    	
----                	1    	N7                  	NaN       	ARITHMETICORBOOLEANEXPR	No 	N7                  	
----                	1    	EXPRESSION          	NaN       	LVALUEIDSTMT        	No 	EXPRESSION          	
;                   	49   	SEMICOL             	NaN       	LVALUEIDSTMT        	Yes	                    	
----                	1    	WHICHSTMT           	NaN       	ASSIGNMENTSTMT      	No 	WHICHSTMT           	
----                	1    	SIMPLESTMT          	NaN       	STATEMENT           	No 	SIMPLESTMT          	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	STATEMENTS          	No 	STATEMENTS          	
while               	50   	WHILE               	NaN       	ITERATIVESTMT       	Yes	                    	
----                	1    	ITERATIVESTMT       	NaN       	STATEMENT           	No 	ITERATIVESTMT       	
(                   	50   	BO                  	NaN       	ITERATIVESTMT       	Yes	                    	
i                   	50   	ID                  	NaN       	VAR_ID_NUM          	Yes	                    	
----                	1    	VAR_ID_NUM          	NaN       	FACTOR              	No 	VAR_ID_NUM          	
----                	1    	EPS                 	NaN       	WHICHID             	Yes	                    	
----                	1    	WHICHID             	NaN       	VAR_ID_NUM          	No 	WHICHID             	
----                	1    	FACTOR              	NaN       	TERM                	No 	FACTOR              	
----                	1    	TERM                	NaN       	ARITHMETICEXPR      	No 	TERM                	
----                	1    	EPS                 	NaN       	N5                  	Yes	                    	
----                	1    	N5                  	NaN       	TERM                	No 	N5                  	
----                	1    	ARITHMETICEXPR      	NaN       	ANYTERM             	No 	ARITHMETICEXPR      	
----                	1    	EPS                 	NaN       	N4                  	Yes	                    	
----                	1    	N4                  	NaN       	ARITHMETICEXPR      	No 	N4                  	
----                	1    	ANYTERM             	NaN       	ARITHMETICORBOOLEANEXPR	No 	ANYTERM             	
<=                  	50   	LE                  	NaN       	RELATIONALOP        	Yes	                    	
----                	1    	RELATIONALOP        	NaN       	N8                  	No 	RELATIONALOP        	
----                	1    	N8                  	NaN       	ANYTERM             	No 	N8                  	
k                   	50   	ID                  	NaN       	VAR_ID_NUM          	Yes	                    	
----                	1    	VAR_ID_NUM          	NaN       	FACTOR              	No 	VAR_ID_NUM          	
----                	1    	EPS                 	NaN       	WHICHID             	Yes	                    	
----                	1    	WHICHID             	NaN       	VAR_ID_NUM          	No 	WHICHID             	
----                	1    	FACTOR              	NaN       	TERM                	No 	FACTOR              	
----                	1    	TERM                	NaN       	ARITHMETICEXPR      	No 	TERM                	
----                	1    	EPS                 	NaN       	N5                  	Yes	                    	
